date,site_reference,site_description,region_name,heavy_count,light_count,total_count,congestion_index,iso_week,pack_week,season_phase
2021-04-18,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,641.0,14545.0,15186.0,100.0,15,15,MainPack
2021-04-18,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,399.5,5156.5,5556.0,72.22,15,15,MainPack
2021-04-19,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1794.0,11884.0,13678.0,100.0,16,16,MainPack
2021-04-19,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,2005.0,20912.0,22917.0,100.0,16,16,MainPack
2021-04-19,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1205.5,6496.5,7702.0,100.0,16,16,MainPack
2021-04-19,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,960.5,10565.5,11526.0,100.0,16,16,MainPack
2021-04-19,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2288.5,21032.5,23321.0,100.0,16,16,MainPack
2021-04-19,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,991.5,5266.5,6258.0,93.65,16,16,MainPack
2021-04-19,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2202.0,20228.0,22430.0,100.0,16,16,MainPack
2021-04-19,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1005.5,4945.5,5951.0,90.48,16,16,MainPack
2021-04-20,00200132,Whakamarama Telemetry Site 124,04 - Bay of Plenty,1620.5,11950.5,13571.0,100.0,16,16,MainPack
2021-04-20,00200141,TE PUNA - Telemetry Site 65 - West of Snodgrass,04 - Bay of Plenty,1885.5,21212.5,23098.0,100.0,16,16,MainPack
2021-04-20,00200200,OHINEPANEA - Telemetry Site 13 - West of Rogers Rd,04 - Bay of Plenty,1295.5,6639.5,7935.0,100.0,16,16,MainPack
2021-04-20,00200242,AWAKERI - Telemetry Site 92,04 - Bay of Plenty,944.5,10848.5,11793.0,100.0,16,16,MainPack
2021-04-20,00210152,TAKITIMU DRIVE - Telemetry Site 105 - Inc ,04 - Bay of Plenty,2301.5,22079.5,24381.0,100.0,16,16,MainPack
2021-04-20,00210180,TEL Toll Gantry -Telemetry Site 122 - EB,04 - Bay of Plenty,946.5,5215.5,6162.0,91.53,16,16,MainPack
2021-04-20,00220152,TAKITIMU DRIVE - Telemetry Site 105 - Dec ,04 - Bay of Plenty,2172.5,21899.5,24072.0,100.0,16,16,MainPack
2021-04-20,00220180,TEL Toll Gantry -Telemetry Site 122 - WB,04 - Bay of Plenty,1039.5,5122.5,6162.0,93.65,16,16,MainPack
